"","id","nome","microrregiao.id","microrregiao.nome","microrregiao.mesorregiao.id","microrregiao.mesorregiao.nome","microrregiao.mesorregiao.UF.id","microrregiao.mesorregiao.UF.sigla","microrregiao.mesorregiao.UF.nome","microrregiao.mesorregiao.UF.regiao.id","microrregiao.mesorregiao.UF.regiao.sigla","microrregiao.mesorregiao.UF.regiao.nome","regiao-imediata.id","regiao-imediata.nome","regiao-imediata.regiao-intermediaria.id","regiao-imediata.regiao-intermediaria.nome","regiao-imediata.regiao-intermediaria.UF.id","regiao-imediata.regiao-intermediaria.UF.sigla","regiao-imediata.regiao-intermediaria.UF.nome","regiao-imediata.regiao-intermediaria.UF.regiao.id","regiao-imediata.regiao-intermediaria.UF.regiao.sigla","regiao-imediata.regiao-intermediaria.UF.regiao.nome"
"3312",3503901,"Arujá",35059,Guarulhos,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3332",3505708,"Barueri",35057,Osasco,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3339",3506359,"Bertioga",35063,Santos,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350002,Santos,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3342",3506607,"Biritiba Mirim",35062,Mogi das Cruzes,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3369",3509007,"Caieiras",35058,Franco da Rocha,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3371",3509205,"Cajamar",35057,Osasco,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3389",3510609,"Carapicuíba",35057,Osasco,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3412",3513009,"Cotia",35060,Itapecerica da Serra,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3417",3513504,"Cubatão",35063,Santos,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350002,Santos,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3420",3513801,"Diadema",35061,São Paulo,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3435",3515004,"Embu das Artes",35060,Itapecerica da Serra,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3436",3515103,"Embu-Guaçu",35060,Itapecerica da Serra,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3448",3515707,"Ferraz de Vasconcelos",35062,Mogi das Cruzes,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3454",3516309,"Francisco Morato",35058,Franco da Rocha,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3455",3516408,"Franco da Rocha",35058,Franco da Rocha,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3475",3518305,"Guararema",35062,Mogi das Cruzes,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3479",3518701,"Guarujá",35063,Santos,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350002,Santos,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3480",3518800,"Guarulhos",35059,Guarulhos,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3522",3522208,"Itapecerica da Serra",35060,Itapecerica da Serra,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
"3525",3522505,"Itapevi",35057,Osasco,3515,Metropolitana de São Paulo,35,SP,São Paulo,3,SE,Sudeste,350001,São Paulo,3501,São Paulo,35,SP,São Paulo,3,SE,Sudeste
